M,mu_kernel,method,trial,abs_err,rel_err,S_approx,S_ref,N_terms
512,clean,sequential_f32,0,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,1,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,2,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,3,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,4,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,5,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,6,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,7,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,8,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
512,clean,sequential_f32,9,0.0039367676164262545,102784299.18183592,0.003936767578125,-3.830125464456114e-11,262144
768,clean,sequential_f32,0,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,1,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,2,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,3,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,4,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,5,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,6,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,7,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,8,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
768,clean,sequential_f32,9,0.011718750155693099,75268269.65181157,0.01171875,-1.5569309896326348e-10,589824
1024,clean,sequential_f32,0,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,1,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,2,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,3,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,4,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,5,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,6,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,7,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,8,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
1024,clean,sequential_f32,9,0.4843139645261828,1525075528.6612864,-0.48431396484375,-3.175671994103232e-10,1048576
2048,clean,sequential_f32,0,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,1,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,2,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
2048,clean,sequential_f32,3,1.4374999990797386,1562056059.1597788,-1.4375,-9.202614660660526e-10,4194304
